,agnews_llama3_8b_instruct,agnews_llama_3_8b,agnews_phi3_5
random_0,0.8703071672354948,0.6757679180887372,0.7670648464163823
random_3,0.8378839590443686,0.8080204778156996,0.7892491467576792
random_6,0.8498293515358362,0.8319112627986348,0.7952218430034129
similarity_0,0.8703071672354948,0.6757679180887372,0.7670648464163823
similarity_3,0.8617747440273038,0.8191126279863481,0.8395904436860068
similarity_6,0.8626279863481229,0.8387372013651877,0.8430034129692833
