,arc_llama3_8b_instruct,arc_llama_3_8b,arc_phi3_5,arc_gemma2_9b_instruct,arc_gemma2_9b,agnews_gemma2_9b_instruct,agnews_gemma2_9b,agnews_llama3_8b_instruct,agnews_llama_3_8b,agnews_phi3_5
"datamap_[2, 2, 2]_H-A-E",0.8054607508532423,0.7559726962457338,0.8703071672354948,0.8984641638225256,0.8950511945392492,0.8660409556313993,0.8540955631399317,0.825938566552901,0.8310580204778157,0.802901023890785
"datamap_[2, 2, 2]_H-E-A",0.8080204778156996,0.7593856655290102,0.8703071672354948,0.8993174061433447,0.8993174061433447,0.8626279863481229,0.8506825938566553,0.8370307167235495,0.8250853242320819,0.8003412969283277
"datamap_[3, 0, 0]_E-A-H",0.7892491467576792,0.7431740614334471,0.8728668941979523,0.8993174061433447,0.8813993174061433,0.8489761092150171,0.8464163822525598,0.8395904436860068,0.8148464163822525,0.7790102389078498
"datamap_[6, 0, 0]_E-A-H",0.8063139931740614,0.757679180887372,0.8686006825938567,0.8976109215017065,0.8916382252559727,0.8609215017064846,0.85580204778157,0.8549488054607508,0.8378839590443686,0.802901023890785
"datamap_similarity_[0, 0, 3]_E-A-H",0.8156996587030717,0.7295221843003413,0.863481228668942,0.9001706484641638,0.893344709897611,0.8651877133105802,0.8506825938566553,0.8370307167235495,0.825938566552901,0.8122866894197952
"datamap_similarity_[0, 0, 6]_E-A-H",0.8148464163822525,0.75,0.8617747440273038,0.9061433447098975,0.8916382252559727,0.8771331058020477,0.8626279863481229,0.8284982935153583,0.8421501706484642,0.8037542662116041
"datamap_similarity_[0, 3, 0]_E-A-H",0.8080204778156996,0.742320819112628,0.8737201365187713,0.8950511945392492,0.89419795221843,0.8643344709897611,0.8447098976109215,0.8549488054607508,0.8191126279863481,0.8267918088737202
"datamap_similarity_[0, 6, 0]_E-A-H",0.8037542662116041,0.7662116040955631,0.8737201365187713,0.8976109215017065,0.8899317406143344,0.8643344709897611,0.8387372013651877,0.8506825938566553,0.8242320819112628,0.8080204778156996
"datamap_similarity_[1, 1, 1]_A-E-H",0.8174061433447098,0.764505119453925,0.8609215017064846,0.9001706484641638,0.8924914675767918,0.8651877133105802,0.8575085324232082,0.8600682593856656,0.8284982935153583,0.8225255972696246
"datamap_similarity_[1, 1, 1]_A-H-E",0.8191126279863481,0.7627986348122867,0.856655290102389,0.9001706484641638,0.8916382252559727,0.8686006825938567,0.8523890784982935,0.8651877133105802,0.8336177474402731,0.8370307167235495
